#	00			01			10			11			
167	9.61e-11 	2.89e-20 	9.17e-08 	5.61e-07 	
168	9.08e-11 	2.69e-20 	9.16e-08 	5.42e-07 	
169	8.57e-11 	2.51e-20 	9.14e-08 	5.24e-07 	
170	8.10e-11 	2.34e-20 	9.13e-08 	5.07e-07 	
171	7.65e-11 	2.18e-20 	9.12e-08 	4.90e-07 	
172	7.23e-11 	2.04e-20 	9.10e-08 	4.73e-07 	
173	6.83e-11 	1.90e-20 	9.09e-08 	4.57e-07 	
174	6.46e-11 	1.77e-20 	9.07e-08 	4.42e-07 	
175	6.10e-11 	1.66e-20 	9.06e-08 	4.27e-07 	
176	5.77e-11 	1.54e-20 	9.05e-08 	4.13e-07 	
177	5.45e-11 	1.44e-20 	9.03e-08 	4.00e-07 	
178	5.16e-11 	1.35e-20 	9.02e-08 	3.86e-07 	
179	4.88e-11 	1.26e-20 	9.00e-08 	3.74e-07 	
180	4.61e-11 	1.17e-20 	8.98e-08 	3.61e-07 	
181	4.36e-11 	1.10e-20 	8.97e-08 	3.49e-07 	
182	4.13e-11 	1.02e-20 	8.95e-08 	3.38e-07 	
183	3.90e-11 	9.56e-21 	8.94e-08 	3.27e-07 	
184	3.69e-11 	8.93e-21 	8.92e-08 	3.16e-07 	
185	3.50e-11 	8.34e-21 	8.91e-08 	3.06e-07 	
186	3.31e-11 	7.79e-21 	8.89e-08 	2.96e-07 	
187	3.13e-11 	7.28e-21 	8.87e-08 	2.86e-07 	
188	2.97e-11 	6.81e-21 	8.86e-08 	2.77e-07 	
189	2.81e-11 	6.36e-21 	8.84e-08 	2.68e-07 	
190	2.66e-11 	5.95e-21 	8.82e-08 	2.60e-07 	
191	2.52e-11 	5.56e-21 	8.80e-08 	2.51e-07 	
192	2.38e-11 	5.20e-21 	8.79e-08 	2.43e-07 	
193	2.26e-11 	4.86e-21 	8.77e-08 	2.35e-07 	
194	2.14e-11 	4.55e-21 	8.75e-08 	2.28e-07 	
195	2.03e-11 	4.25e-21 	8.74e-08 	2.21e-07 	
196	1.92e-11 	3.98e-21 	8.72e-08 	2.14e-07 	
197	1.82e-11 	3.72e-21 	8.70e-08 	2.07e-07 	
198	1.72e-11 	3.48e-21 	8.68e-08 	2.00e-07 	
199	1.63e-11 	3.26e-21 	8.66e-08 	1.94e-07 	
200	1.55e-11 	3.05e-21 	8.65e-08 	1.88e-07 	
201	1.47e-11 	2.85e-21 	8.63e-08 	1.82e-07 	
202	1.39e-11 	2.67e-21 	8.61e-08 	1.76e-07 	
203	1.32e-11 	2.50e-21 	8.59e-08 	1.71e-07 	
204	1.25e-11 	2.34e-21 	8.57e-08 	1.65e-07 	
205	1.19e-11 	2.19e-21 	8.56e-08 	1.60e-07 	
206	1.13e-11 	2.05e-21 	8.54e-08 	1.55e-07 	
207	1.07e-11 	1.92e-21 	8.52e-08 	1.50e-07 	
208	1.01e-11 	1.80e-21 	8.50e-08 	1.46e-07 	
209	9.62e-12 	1.69e-21 	8.48e-08 	1.41e-07 	
210	9.13e-12 	1.58e-21 	8.46e-08 	1.37e-07 	
211	8.67e-12 	1.48e-21 	8.44e-08 	1.33e-07 	
212	8.22e-12 	1.39e-21 	8.42e-08 	1.28e-07 	
213	7.81e-12 	1.30e-21 	8.40e-08 	1.24e-07 	
214	7.41e-12 	1.22e-21 	8.39e-08 	1.21e-07 	
215	7.04e-12 	1.14e-21 	8.37e-08 	1.17e-07 	
216	6.68e-12 	1.07e-21 	8.35e-08 	1.13e-07 	
217	6.34e-12 	1.01e-21 	8.33e-08 	1.10e-07 	
218	6.02e-12 	9.43e-22 	8.31e-08 	1.07e-07 	
219	5.72e-12 	8.84e-22 	8.29e-08 	1.03e-07 	
220	5.43e-12 	8.29e-22 	8.27e-08 	1.00e-07 	
221	5.16e-12 	7.78e-22 	8.25e-08 	9.71e-08 	
222	4.90e-12 	7.30e-22 	8.23e-08 	9.42e-08 	
223	4.66e-12 	6.85e-22 	8.21e-08 	9.13e-08 	
